I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.045,-0.041,0.004,,,,,,,,,
-0.045,-0.04,0.006,,,,,,,,,
-0.045,-0.04,0.004,,,,,,,,,
-0.046,-0.04,0.006,,,,,,,,,
-0.05,-0.04,0.01,,,,,,,,,
-0.05,-0.04,0.01,,,,,,,,,
-0.051,-0.041,0.01,,,,,,,,,
-0.048,-0.038,0.01,,,,,,,,,
-0.045,-0.035,0.011,,,,,,,,,
-0.05,-0.035,0.015,,,,,,,,,
-0.05,-0.035,0.015,,,,,,,,,
-0.05,-0.035,0.015,,,,,,,,,
-0.05,-0.035,0.015,,,,,,,,,
-0.05,-0.034,0.016,,,,,,,,,
-0.05,-0.03,0.02,,,,,,,,,
-0.05,-0.03,0.02,,,,,,,,,
-0.049,-0.03,0.019,,,,,,,,,
-0.052,-0.03,0.022,,,,,,,,,
-0.055,-0.03,0.025,,,,,,,,,
-0.055,-0.03,0.025,,,,,,,,,
-0.055,-0.03,0.025,,,,,,,,,
-0.054,-0.03,0.024,,,,,,,,,
-0.057,-0.03,0.027,,,,,,,,,
-0.06,-0.03,0.03,,,,,,,,,
-0.06,-0.03,0.03,,,,,,,,,
-0.06,-0.03,0.03,,,,,,,,,
-0.061,-0.03,0.031,,,,,,,,,
-0.058,-0.03,0.028,,,,,,,,,
-0.055,-0.03,0.025,,,,,,,,,
-0.055,-0.03,0.025,,,,,,,,,
-0.055,-0.03,0.025,,,,,,,,,
-0.055,-0.03,0.025,,,,,,,,,
-0.055,-0.03,0.025,,,,,,,,,
-0.055,-0.03,0.025,,,,,,,,,
-0.055,-0.03,0.025,,,,,,,,,
-0.055,-0.03,0.025,,,,,,,,,
-0.055,-0.03,0.025,,,,,,,,,
-0.055,-0.03,0.025,,,,,,,,,
-0.055,-0.03,0.025,,,,,,,,,
-0.055,-0.03,0.025,,,,,,,,,
-0.055,-0.03,0.025,,,,,,,,,
-0.055,-0.03,0.025,,,,,,,,,
-0.055,-0.03,0.025,,,,,,,,,
-0.055,-0.03,0.025,,,,,,,,,
-0.055,-0.03,0.025,,,,,,,,,
-0.055,-0.03,0.025,,,,,,,,,
-0.055,-0.03,0.025,,,,,,,,,
-0.055,-0.03,0.025,,,,,,,,,
-0.054,-0.029,0.025,,,,,,,,,
-0.05,-0.025,0.025,,,,,,,,,
-0.05,-0.025,0.025,,,,,,,,,
-0.05,-0.025,0.025,,,,,,,,,
-0.05,-0.025,0.025,,,,,,,,,
-0.05,-0.025,0.025,,,,,,,,,
-0.05,-0.025,0.025,,,,,,,,,
-0.046,-0.025,0.021,,,,,,,,,
-0.045,-0.025,0.02,,,,,,,,,
-0.045,-0.025,0.02,,,,,,,,,
-0.045,-0.025,0.02,,,,,,,,,
-0.045,-0.025,0.02,,,,,,,,,
-0.045,-0.025,0.02,,,,,,,,,
-0.045,-0.025,0.02,,,,,,,,,
-0.045,-0.025,0.02,,,,,,,,,
-0.045,-0.025,0.02,,,,,,,,,
-0.045,-0.025,0.02,,,,,,,,,
-0.045,-0.025,0.02,,,,,,,,,
-0.045,-0.025,0.02,,,,,,,,,
-0.045,-0.025,0.02,,,,,,,,,
-0.044,-0.025,0.019,,,,,,,,,
-0.04,-0.025,0.015,,,,,,,,,
-0.04,-0.025,0.015,,,,,,,,,
-0.04,-0.025,0.015,,,,,,,,,
-0.04,-0.025,0.015,,,,,,,,,
-0.04,-0.025,0.015,,,,,,,,,
-0.04,-0.025,0.015,,,,,,,,,
-0.04,-0.025,0.015,,,,,,,,,
-0.038,-0.023,0.015,,,,,,,,,
-0.048,-0.033,0.015,,,,,,,,,
-0.061,-0.046,0.015,,,,,,,,,
-0.055,-0.04,0.015,,,,,,,,,
-0.055,-0.04,0.015,,,,,,,,,
-0.052,-0.037,0.015,,,,,,,,,
-0.049,-0.034,0.015,,,,,,,,,
-0.05,-0.035,0.015,,,,,,,,,
-0.05,-0.035,0.015,,,,,,,,,
-0.046,-0.031,0.015,,,,,,,,,
-0.044,-0.029,0.015,,,,,,,,,
-0.046,-0.031,0.015,,,,,,,,,
-0.044,-0.029,0.015,,,,,,,,,
-0.04,-0.025,0.015,,,,,,,,,
-0.04,-0.025,0.015,,,,,,,,,
-0.041,-0.026,0.015,,,,,,,,,
-0.038,-0.023,0.015,,,,,,,,,
-0.034,-0.02,0.015,,,,,,,,,
-0.035,-0.02,0.015,,,,,,,,,
-0.043,-0.02,0.023,,,,,,,,,
-0.046,-0.017,0.029,,,,,,,,,
-0.044,-0.012,0.032,,,,,,,,,
-0.046,-0.01,0.036,,,,,,,,,
-0.05,-0.01,0.04,,,,,,,,,
-0.05,-0.006,0.044,,,,,,,,,
-0.053,-0.005,0.048,,,,,,,,,
-0.056,-0.004,0.052,,,,,,,,,
-0.054,0.001,0.055,,,,,,,,,
-0.05,0.005,0.055,,,,,,,,,
-0.05,0.005,0.055,,,,,,,,,
-0.05,0.008,0.058,,,,,,,,,
-0.051,0.01,0.061,,,,,,,,,
-0.048,0.011,0.06,,,,,,,,,
-0.04,0.02,0.06,,,,,,,,,
-0.041,0.024,0.064,,,,,,,,,
-0.033,0.031,0.065,,,,,,,,,
-0.031,0.037,0.068,,,,,,,,,
-0.035,0.042,0.077,,,,,,,,,
-0.03,0.05,0.08,,,,,,,,,
-0.019,0.053,0.072,,,,,,,,,
-0.004,0.062,0.066,,,,,,,,,
-0.001,0.062,0.063,,,,,,,,,
-0.005,0.053,0.059,,,,,,,,,
-0.005,0.05,0.055,,,,,,,,,
-0.009,0.042,0.051,,,,,,,,,
-0.01,0.037,0.047,,,,,,,,,
-0.01,0.031,0.041,,,,,,,,,
-0.009,0.024,0.033,,,,,,,,,
-0.005,0.02,0.025,,,,,,,,,
-0.001,0.016,0.017,,,,,,,,,
0.006,0.015,0.009,,,,,,,,,
0.012,0.013,0.001,,,,,,,,,
0.017,0.01,-0.008,,,,,,,,,
0.025,0.01,-0.015,,,,,,,,,
0.017,0.006,-0.011,,,,,,,,,
0.015,0.005,-0.009,,,,,,,,,
0.013,0.003,-0.01,,,,,,,,,
0.01,0.0,-0.01,,,,,,,,,
0.01,0.0,-0.01,,,,,,,,,
0.006,-0.004,-0.01,,,,,,,,,
0.003,-0.004,-0.007,,,,,,,,,
-0.005,-0.01,-0.004,,,,,,,,,
-0.018,-0.023,-0.005,,,,,,,,,
-0.025,-0.03,-0.005,,,,,,,,,
-0.033,-0.038,-0.005,,,,,,,,,
-0.042,-0.046,-0.005,,,,,,,,,
-0.047,-0.054,-0.007,,,,,,,,,
-0.051,-0.062,-0.011,,,,,,,,,
-0.055,-0.07,-0.015,,,,,,,,,
-0.051,-0.07,-0.019,,,,,,,,,
-0.05,-0.07,-0.02,,,,,,,,,
-0.049,-0.07,-0.021,,,,,,,,,
-0.044,-0.07,-0.026,,,,,,,,,
-0.04,-0.07,-0.03,,,,,,,,,
-0.04,-0.07,-0.03,,,,,,,,,
-0.037,-0.069,-0.032,,,,,,,,,
-0.036,-0.073,-0.038,,,,,,,,,
-0.041,-0.082,-0.04,,,,,,,,,
-0.045,-0.085,-0.04,,,,,,,,,
-0.045,-0.089,-0.044,,,,,,,,,
-0.048,-0.093,-0.045,,,,,,,,,
-0.051,-0.097,-0.047,,,,,,,,,
-0.05,-0.1,-0.051,,,,,,,,,
-0.05,-0.1,-0.05,,,,,,,,,
-0.054,-0.1,-0.046,,,,,,,,,
-0.059,-0.103,-0.045,,,,,,,,,
-0.06,-0.105,-0.045,,,,,,,,,
-0.06,-0.105,-0.045,,,,,,,,,
-0.06,-0.105,-0.045,,,,,,,,,
-0.048,-0.093,-0.045,,,,,,,,,
-0.038,-0.084,-0.046,,,,,,,,,
-0.033,-0.074,-0.041,,,,,,,,,
-0.029,-0.063,-0.034,,,,,,,,,
-0.03,-0.055,-0.025,,,,,,,,,
-0.049,-0.042,0.007,,,,,,,,,
-0.072,-0.037,0.034,,,,,,,,,
-0.086,-0.013,0.073,,,,,,,,,
-0.099,0.03,0.129,,,,,,,,,
-0.115,0.065,0.18,,,,,,,,,
-0.116,0.105,0.22,,,,,,,,,
-0.117,0.107,0.224,,,,,,,,,
-0.124,0.096,0.22,,,,,,,,,
-0.114,0.095,0.208,,,,,,,,,
-0.075,0.09,0.165,,,,,,,,,
-0.044,0.082,0.126,,,,,,,,,
0.0,0.076,0.076,,,,,,,,,
0.046,0.074,0.027,,,,,,,,,
0.094,0.068,-0.026,,,,,,,,,
0.165,0.065,-0.1,,,,,,,,,
0.252,0.083,-0.169,,,,,,,,,
0.345,0.115,-0.23,,,,,,,,,
0.415,0.157,-0.258,,,,,,,,,
0.452,0.163,-0.289,,,,,,,,,
0.49,0.105,-0.385,,,,,,,,,
0.552,0.053,-0.499,,,,,,,,,
0.55,-0.004,-0.554,,,,,,,,,
0.531,-0.03,-0.562,,,,,,,,,
0.544,-0.016,-0.559,,,,,,,,,
0.545,-0.015,-0.56,,,,,,,,,
0.517,-0.058,-0.575,,,,,,,,,
0.496,-0.098,-0.595,,,,,,,,,
0.466,-0.15,-0.616,,,,,,,,,
0.418,-0.206,-0.624,,,,,,,,,
0.39,-0.225,-0.615,,,,,,,,,
0.405,-0.21,-0.615,,,,,,,,,
0.377,-0.192,-0.569,,,,,,,,,
0.295,-0.177,-0.472,,,,,,,,,
0.203,-0.161,-0.364,,,,,,,,,
0.13,-0.15,-0.28,,,,,,,,,
0.075,-0.145,-0.22,,,,,,,,,
0.01,-0.145,-0.155,,,,,,,,,
-0.023,-0.143,-0.12,,,,,,,,,
-0.021,-0.14,-0.119,,,,,,,,,
-0.03,-0.14,-0.11,,,,,,,,,
-0.034,-0.136,-0.102,,,,,,,,,
-0.041,-0.135,-0.094,,,,,,,,,
-0.048,-0.133,-0.086,,,,,,,,,
-0.051,-0.13,-0.079,,,,,,,,,
-0.055,-0.13,-0.075,,,,,,,,,
-0.055,-0.126,-0.071,,,,,,,,,
-0.056,-0.125,-0.069,,,,,,,,,
-0.053,-0.123,-0.071,,,,,,,,,
-0.05,-0.119,-0.069,,,,,,,,,
-0.055,-0.12,-0.065,,,,,,,,,
-0.056,-0.12,-0.065,,,,,,,,,
-0.051,-0.117,-0.066,,,,,,,,,
-0.051,-0.115,-0.063,,,,,,,,,
-0.056,-0.115,-0.06,,,,,,,,,
-0.055,-0.115,-0.06,,,,,,,,,
-0.055,-0.115,-0.06,,,,,,,,,
-0.055,-0.112,-0.057,,,,,,,,,
-0.055,-0.109,-0.054,,,,,,,,,
-0.055,-0.11,-0.055,,,,,,,,,
-0.055,-0.11,-0.055,,,,,,,,,
-0.06,-0.11,-0.051,,,,,,,,,
-0.058,-0.107,-0.049,,,,,,,,,
-0.054,-0.104,-0.051,,,,,,,,,
-0.056,-0.105,-0.049,,,,,,,,,
-0.06,-0.105,-0.045,,,,,,,,,
-0.056,-0.101,-0.045,,,,,,,,,
-0.054,-0.1,-0.046,,,,,,,,,
-0.057,-0.1,-0.043,,,,,,,,,
-0.061,-0.1,-0.04,,,,,,,,,
-0.06,-0.1,-0.04,,,,,,,,,
-0.056,-0.096,-0.04,,,,,,,,,
-0.054,-0.095,-0.04,,,,,,,,,
-0.057,-0.095,-0.038,,,,,,,,,
-0.061,-0.095,-0.035,,,,,,,,,
-0.06,-0.095,-0.035,,,,,,,,,
-0.055,-0.091,-0.035,,,,,,,,,
-0.058,-0.09,-0.032,,,,,,,,,
-0.059,-0.088,-0.029,,,,,,,,,
-0.054,-0.084,-0.03,,,,,,,,,
-0.055,-0.085,-0.03,,,,,,,,,
-0.06,-0.086,-0.026,,,,,,,,,
-0.057,-0.082,-0.024,,,,,,,,,
-0.054,-0.08,-0.026,,,,,,,,,
-0.055,-0.079,-0.024,,,,,,,,,
-0.055,-0.075,-0.02,,,,,,,,,
-0.055,-0.075,-0.02,,,,,,,,,
-0.055,-0.076,-0.021,,,,,,,,,
-0.055,-0.073,-0.018,,,,,,,,,
-0.055,-0.07,-0.015,,,,,,,,,
-0.055,-0.07,-0.015,,,,,,,,,
-0.05,-0.066,-0.015,,,,,,,,,
-0.052,-0.064,-0.012,,,,,,,,,
-0.056,-0.066,-0.009,,,,,,,,,
-0.054,-0.064,-0.01,,,,,,,,,
-0.05,-0.06,-0.01,,,,,,,,,
-0.054,-0.06,-0.006,,,,,,,,,
-0.056,-0.061,-0.005,,,,,,,,,
-0.053,-0.058,-0.005,,,,,,,,,
-0.05,-0.055,-0.005,,,,,,,,,
-0.05,-0.055,-0.005,,,,,,,,,
-0.05,-0.051,-0.001,,,,,,,,,
-0.051,-0.05,0.001,,,,,,,,,
-0.048,-0.048,-0.001,,,,,,,,,
-0.046,-0.045,0.001,,,,,,,,,
-0.05,-0.045,0.005,,,,,,,,,
-0.046,-0.041,0.005,,,,,,,,,
-0.044,-0.04,0.004,,,,,,,,,
-0.045,-0.038,0.007,,,,,,,,,
-0.045,-0.035,0.01,,,,,,,,,
-0.045,-0.035,0.01,,,,,,,,,
-0.037,-0.027,0.01,,,,,,,,,
-0.032,-0.019,0.013,,,,,,,,,
-0.027,-0.011,0.016,,,,,,,,,
-0.018,-0.003,0.015,,,,,,,,,
-0.01,0.005,0.015,,,,,,,,,
-0.006,0.013,0.019,,,,,,,,,
0.001,0.021,0.021,,,,,,,,,
0.008,0.028,0.019,,,,,,,,,
0.009,0.03,0.021,,,,,,,,,
0.005,0.03,0.025,,,,,,,,,
0.005,0.031,0.025,,,,,,,,,
0.003,0.027,0.024,,,,,,,,,
0.014,0.041,0.027,,,,,,,,,
0.033,0.064,0.03,,,,,,,,,
0.035,0.065,0.03,,,,,,,,,
0.033,0.063,0.03,,,,,,,,,
0.049,0.08,0.031,,,,,,,,,
0.068,0.096,0.028,,,,,,,,,
0.076,0.101,0.025,,,,,,,,,
0.08,0.105,0.025,,,,,,,,,
0.084,0.109,0.025,,,,,,,,,
0.088,0.113,0.025,,,,,,,,,
0.092,0.118,0.025,,,,,,,,,
0.095,0.12,0.025,,,,,,,,,
0.095,0.12,0.025,,,,,,,,,
0.102,0.128,0.025,,,,,,,,,
0.113,0.134,0.022,,,,,,,,,
0.114,0.134,0.019,,,,,,,,,
0.118,0.138,0.02,,,,,,,,,
0.135,0.155,0.02,,,,,,,,,
0.148,0.168,0.02,,,,,,,,,
0.156,0.176,0.02,,,,,,,,,
0.164,0.184,0.02,,,,,,,,,
0.164,0.184,0.02,,,,,,,,,
0.155,0.175,0.02,,,,,,,,,
0.155,0.171,0.016,,,,,,,,,
0.149,0.164,0.015,,,,,,,,,
0.143,0.158,0.015,,,,,,,,,
0.138,0.153,0.015,,,,,,,,,
0.13,0.145,0.015,,,,,,,,,
0.126,0.141,0.015,,,,,,,,,
0.122,0.137,0.015,,,,,,,,,
0.134,0.149,0.015,,,,,,,,,
0.144,0.159,0.015,,,,,,,,,
0.125,0.14,0.015,,,,,,,,,
0.113,0.124,0.011,,,,,,,,,
0.098,0.108,0.01,,,,,,,,,
0.085,0.093,0.008,,,,,,,,,
0.078,0.082,0.004,,,,,,,,,
0.065,0.07,0.005,,,,,,,,,
0.052,0.058,0.005,,,,,,,,,
0.047,0.049,0.002,,,,,,,,,
0.04,0.04,-0.001,,,,,,,,,
0.026,0.027,0.0,,,,,,,,,
0.015,0.015,0.0,,,,,,,,,
0.011,0.007,-0.004,,,,,,,,,
0.007,0.002,-0.006,,,,,,,,,
0.003,-0.002,-0.004,,,,,,,,,
0.0,-0.006,-0.006,,,,,,,,,
0.0,-0.01,-0.01,,,,,,,,,
-0.004,-0.014,-0.01,,,,,,,,,
-0.009,-0.018,-0.009,,,,,,,,,
-0.01,-0.022,-0.012,,,,,,,,,
-0.011,-0.027,-0.016,,,,,,,,,
-0.015,-0.035,-0.02,,,,,,,,,
-0.016,-0.04,-0.024,,,,,,,,,
-0.01,-0.038,-0.028,,,,,,,,,
-0.017,-0.047,-0.03,,,,,,,,,
-0.033,-0.063,-0.03,,,,,,,,,
-0.035,-0.065,-0.03,,,,,,,,,
-0.035,-0.065,-0.03,,,,,,,,,
-0.035,-0.065,-0.03,,,,,,,,,
-0.035,-0.065,-0.03,,,,,,,,,
-0.036,-0.066,-0.03,,,,,,,,,
-0.04,-0.07,-0.03,,,,,,,,,
-0.041,-0.071,-0.03,,,,,,,,,
-0.037,-0.067,-0.03,,,,,,,,,
-0.034,-0.064,-0.03,,,,,,,,,
-0.035,-0.065,-0.03,,,,,,,,,
-0.035,-0.065,-0.03,,,,,,,,,
-0.031,-0.061,-0.03,,,,,,,,,
-0.03,-0.06,-0.03,,,,,,,,,
-0.029,-0.059,-0.03,,,,,,,,,
-0.033,-0.063,-0.03,,,,,,,,,
-0.05,-0.08,-0.03,,,,,,,,,
-0.055,-0.085,-0.03,,,,,,,,,
-0.055,-0.085,-0.03,,,,,,,,,
-0.055,-0.085,-0.03,,,,,,,,,
-0.055,-0.085,-0.03,,,,,,,,,
-0.055,-0.085,-0.03,,,,,,,,,
-0.055,-0.085,-0.03,,,,,,,,,
-0.055,-0.085,-0.03,,,,,,,,,
-0.054,-0.085,-0.03,,,,,,,,,
-0.056,-0.086,-0.03,,,,,,,,,
-0.06,-0.09,-0.03,,,,,,,,,
-0.056,-0.09,-0.034,,,,,,,,,
-0.054,-0.09,-0.036,,,,,,,,,
-0.056,-0.09,-0.034,,,,,,,,,
-0.054,-0.09,-0.036,,,,,,,,,
-0.05,-0.09,-0.04,,,,,,,,,
-0.05,-0.09,-0.04,,,,,,,,,
-0.051,-0.091,-0.04,,,,,,,,,
-0.048,-0.086,-0.038,,,,,,,,,
-0.054,-0.089,-0.035,,,,,,,,,
-0.075,-0.11,-0.035,,,,,,,,,
-0.072,-0.107,-0.035,,,,,,,,,
-0.069,-0.104,-0.035,,,,,,,,,
-0.07,-0.106,-0.035,,,,,,,,,
-0.07,-0.104,-0.034,,,,,,,,,
-0.07,-0.1,-0.03,,,,,,,,,
-0.07,-0.1,-0.03,,,,,,,,,
-0.07,-0.1,-0.03,,,,,,,,,
-0.07,-0.1,-0.03,,,,,,,,,
-0.069,-0.099,-0.03,,,,,,,,,
-0.065,-0.095,-0.03,,,,,,,,,
-0.064,-0.095,-0.03,,,,,,,,,
-0.068,-0.095,-0.027,,,,,,,,,
-0.071,-0.095,-0.024,,,,,,,,,
-0.069,-0.094,-0.025,,,,,,,,,
-0.065,-0.09,-0.025,,,,,,,,,
-0.065,-0.09,-0.025,,,,,,,,,
-0.065,-0.091,-0.026,,,,,,,,,
-0.065,-0.088,-0.023,,,,,,,,,
-0.065,-0.085,-0.02,,,,,,,,,
-0.065,-0.085,-0.02,,,,,,,,,
-0.065,-0.085,-0.02,,,,,,,,,
-0.066,-0.086,-0.02,,,,,,,,,
-0.063,-0.083,-0.02,,,,,,,,,
-0.059,-0.08,-0.02,,,,,,,,,
-0.06,-0.08,-0.02,,,,,,,,,
-0.064,-0.08,-0.016,,,,,,,,,
-0.066,-0.081,-0.015,,,,,,,,,
-0.063,-0.078,-0.015,,,,,,,,,
-0.059,-0.075,-0.015,,,,,,,,,
-0.06,-0.075,-0.015,,,,,,,,,
-0.064,-0.075,-0.011,,,,,,,,,
-0.066,-0.076,-0.01,,,,,,,,,
-0.063,-0.073,-0.01,,,,,,,,,
-0.059,-0.07,-0.01,,,,,,,,,
-0.06,-0.07,-0.01,,,,,,,,,
-0.064,-0.07,-0.006,,,,,,,,,
-0.066,-0.071,-0.005,,,,,,,,,
-0.063,-0.068,-0.005,,,,,,,,,
-0.06,-0.065,-0.005,,,,,,,,,
-0.06,-0.065,-0.005,,,,,,,,,
-0.06,-0.065,-0.005,,,,,,,,,
-0.063,-0.065,-0.002,,,,,,,,,
-0.066,-0.065,0.001,,,,,,,,,
-0.064,-0.064,0.0,,,,,,,,,
-0.06,-0.06,0.0,,,,,,,,,
-0.059,-0.06,0.0,,,,,,,,,
-0.063,-0.06,0.003,,,,,,,,,
-0.066,-0.06,0.006,,,,,,,,,
-0.064,-0.059,0.005,,,,,,,,,
-0.06,-0.055,0.005,,,,,,,,,
-0.06,-0.055,0.005,,,,,,,,,
-0.061,-0.055,0.006,,,,,,,,,
-0.056,-0.055,0.001,,,,,,,,,
-0.041,-0.055,-0.014,,,,,,,,,
-0.03,-0.055,-0.025,,,,,,,,,
-0.038,-0.06,-0.022,,,,,,,,,
-0.042,-0.058,-0.016,,,,,,,,,
-0.038,-0.053,-0.015,,,,,,,,,
-0.035,-0.049,-0.014,,,,,,,,,
-0.035,-0.045,-0.01,,,,,,,,,
-0.031,-0.041,-0.01,,,,,,,,,
-0.029,-0.037,-0.008,,,,,,,,,
-0.032,-0.034,-0.002,,,,,,,,,
-0.027,-0.027,0.0,,,,,,,,,
-0.01,-0.01,0.0,,,,,,,,,
-0.002,0.002,0.004,,,,,,,,,
0.01,0.014,0.004,,,,,,,,,
0.017,0.025,0.008,,,,,,,,,
0.023,0.039,0.017,,,,,,,,,
0.04,0.06,0.02,,,,,,,,,
0.058,0.081,0.024,,,,,,,,,
0.062,0.093,0.031,,,,,,,,,
0.075,0.113,0.038,,,,,,,,,
0.101,0.141,0.04,,,,,,,,,
0.12,0.165,0.045,,,,,,,,,
0.129,0.202,0.073,,,,,,,,,
0.134,0.227,0.093,,,,,,,,,
0.151,0.261,0.11,,,,,,,,,
0.175,0.313,0.138,,,,,,,,,
0.185,0.36,0.175,,,,,,,,,
0.187,0.394,0.207,,,,,,,,,
0.209,0.448,0.239,,,,,,,,,
0.222,0.492,0.27,,,,,,,,,
0.222,0.526,0.304,,,,,,,,,
0.235,0.58,0.345,,,,,,,,,
0.237,0.622,0.385,,,,,,,,,
0.224,0.651,0.427,,,,,,,,,
0.224,0.699,0.474,,,,,,,,,
0.227,0.748,0.521,,,,,,,,,
0.21,0.77,0.56,,,,,,,,,
0.221,0.817,0.596,,,,,,,,,
0.226,0.862,0.636,,,,,,,,,
0.21,0.897,0.687,,,,,,,,,
0.2,0.944,0.744,,,,,,,,,
0.21,1.005,0.795,,,,,,,,,
0.207,1.045,0.838,,,,,,,,,
0.199,1.093,0.894,,,,,,,,,
0.208,1.145,0.937,,,,,,,,,
0.229,1.191,0.962,,,,,,,,,
0.245,1.24,0.995,,,,,,,,,
0.273,1.299,1.026,,,,,,,,,
0.298,1.367,1.069,,,,,,,,,
0.309,1.429,1.12,,,,,,,,,
0.319,1.493,1.175,,,,,,,,,
0.335,1.58,1.245,,,,,,,,,
0.336,1.67,1.333,,,,,,,,,
0.33,1.745,1.415,,,,,,,,,
0.334,1.834,1.5,,,,,,,,,
0.341,1.941,1.6,,,,,,,,,
0.33,2.03,1.7,,,,,,,,,
0.304,2.096,1.792,,,,,,,,,
0.299,2.185,1.886,,,,,,,,,
0.278,2.247,1.97,,,,,,,,,
0.237,2.281,2.043,,,,,,,,,
0.215,2.325,2.11,,,,,,,,,
0.173,2.318,2.146,,,,,,,,,
0.126,2.313,2.187,,,,,,,,,
0.103,2.282,2.179,,,,,,,,,
0.09,2.22,2.131,,,,,,,,,
0.075,2.165,2.09,,,,,,,,,
0.105,2.081,1.976,,,,,,,,,
0.133,1.924,1.792,,,,,,,,,
0.114,1.705,1.591,,,,,,,,,
0.088,1.456,1.368,,,,,,,,,
0.095,1.185,1.09,,,,,,,,,
0.083,0.892,0.809,,,,,,,,,
0.044,0.617,0.572,,,,,,,,,
0.012,0.388,0.376,,,,,,,,,
