I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.047,0.089,0.043,,,,,,,,,
0.045,0.089,0.044,,,,,,,,,
0.037,0.087,0.05,,,,,,,,,
0.027,0.086,0.057,,,,,,,,,
0.024,0.085,0.06,,,,,,,,,
0.026,0.085,0.057,,,,,,,,,
0.029,0.085,0.055,,,,,,,,,
0.027,0.082,0.054,,,,,,,,,
0.022,0.078,0.055,,,,,,,,,
0.017,0.072,0.054,,,,,,,,,
0.016,0.068,0.052,,,,,,,,,
0.015,0.065,0.049,,,,,,,,,
0.014,0.062,0.049,,,,,,,,,
0.011,0.06,0.049,,,,,,,,,
0.008,0.058,0.05,,,,,,,,,
0.003,0.054,0.05,,,,,,,,,
0.0,0.049,0.05,,,,,,,,,
-0.002,0.045,0.048,,,,,,,,,
-0.004,0.042,0.046,,,,,,,,,
-0.005,0.039,0.044,,,,,,,,,
-0.008,0.036,0.043,,,,,,,,,
-0.01,0.034,0.044,,,,,,,,,
-0.013,0.033,0.046,,,,,,,,,
-0.014,0.031,0.045,,,,,,,,,
-0.014,0.029,0.044,,,,,,,,,
-0.011,0.029,0.041,,,,,,,,,
-0.01,0.029,0.04,,,,,,,,,
-0.01,0.028,0.039,,,,,,,,,
-0.014,0.025,0.04,,,,,,,,,
-0.016,0.024,0.04,,,,,,,,,
-0.016,0.024,0.041,,,,,,,,,
-0.015,0.025,0.04,,,,,,,,,
-0.015,0.022,0.037,,,,,,,,,
-0.015,0.02,0.035,,,,,,,,,
-0.014,0.02,0.034,,,,,,,,,
-0.014,0.02,0.035,,,,,,,,,
-0.014,0.02,0.034,,,,,,,,,
-0.015,0.017,0.033,,,,,,,,,
-0.014,0.016,0.031,,,,,,,,,
-0.014,0.015,0.029,,,,,,,,,
-0.013,0.015,0.029,,,,,,,,,
-0.015,0.014,0.029,,,,,,,,,
-0.016,0.013,0.031,,,,,,,,,
-0.018,0.011,0.03,,,,,,,,,
-0.018,0.01,0.029,,,,,,,,,
-0.017,0.009,0.026,,,,,,,,,
-0.015,0.01,0.025,,,,,,,,,
-0.015,0.008,0.024,,,,,,,,,
-0.019,0.006,0.024,,,,,,,,,
-0.021,0.004,0.025,,,,,,,,,
-0.02,0.006,0.026,,,,,,,,,
-0.018,0.006,0.025,,,,,,,,,
-0.021,0.001,0.022,,,,,,,,,
-0.022,-0.001,0.021,,,,,,,,,
-0.018,0.002,0.019,,,,,,,,,
-0.012,0.006,0.019,,,,,,,,,
-0.02,0.0,0.02,,,,,,,,,
-0.042,-0.022,0.02,,,,,,,,,
-0.067,-0.047,0.02,,,,,,,,,
-0.077,-0.058,0.019,,,,,,,,,
-0.073,-0.054,0.019,,,,,,,,,
-0.065,-0.045,0.02,,,,,,,,,
-0.066,-0.041,0.025,,,,,,,,,
-0.074,-0.04,0.033,,,,,,,,,
-0.086,-0.04,0.046,,,,,,,,,
-0.096,-0.038,0.057,,,,,,,,,
-0.099,-0.035,0.065,,,,,,,,,
-0.095,-0.031,0.065,,,,,,,,,
-0.088,-0.026,0.062,,,,,,,,,
-0.082,-0.023,0.059,,,,,,,,,
-0.081,-0.022,0.059,,,,,,,,,
-0.08,-0.02,0.059,,,,,,,,,
-0.077,-0.018,0.06,,,,,,,,,
-0.075,-0.015,0.059,,,,,,,,,
-0.074,-0.013,0.06,,,,,,,,,
-0.072,-0.012,0.06,,,,,,,,,
-0.07,-0.009,0.059,,,,,,,,,
-0.067,-0.007,0.059,,,,,,,,,
-0.065,-0.006,0.059,,,,,,,,,
-0.065,-0.004,0.06,,,,,,,,,
-0.063,-0.003,0.06,,,,,,,,,
-0.059,0.0,0.059,,,,,,,,,
-0.056,0.003,0.06,,,,,,,,,
-0.054,0.005,0.06,,,,,,,,,
-0.058,0.001,0.06,,,,,,,,,
-0.067,-0.007,0.059,,,,,,,,,
-0.08,-0.02,0.06,,,,,,,,,
-0.091,-0.031,0.06,,,,,,,,,
-0.098,-0.037,0.06,,,,,,,,,
-0.099,-0.039,0.059,,,,,,,,,
-0.098,-0.038,0.06,,,,,,,,,
-0.095,-0.035,0.06,,,,,,,,,
-0.094,-0.034,0.059,,,,,,,,,
-0.094,-0.034,0.059,,,,,,,,,
-0.095,-0.035,0.059,,,,,,,,,
-0.093,-0.035,0.057,,,,,,,,,
-0.09,-0.035,0.055,,,,,,,,,
-0.087,-0.033,0.054,,,,,,,,,
-0.086,-0.031,0.055,,,,,,,,,
-0.085,-0.029,0.055,,,,,,,,,
-0.084,-0.029,0.054,,,,,,,,,
-0.085,-0.03,0.054,,,,,,,,,
-0.086,-0.031,0.055,,,,,,,,,
-0.085,-0.03,0.055,,,,,,,,,
-0.084,-0.029,0.054,,,,,,,,,
-0.081,-0.026,0.054,,,,,,,,,
-0.079,-0.025,0.054,,,,,,,,,
-0.079,-0.024,0.055,,,,,,,,,
-0.079,-0.025,0.054,,,,,,,,,
-0.08,-0.025,0.054,,,,,,,,,
-0.08,-0.026,0.055,,,,,,,,,
-0.08,-0.024,0.055,,,,,,,,,
-0.078,-0.022,0.054,,,,,,,,,
-0.075,-0.021,0.054,,,,,,,,,
-0.074,-0.019,0.055,,,,,,,,,
-0.074,-0.019,0.055,,,,,,,,,
-0.074,-0.02,0.054,,,,,,,,,
-0.075,-0.02,0.054,,,,,,,,,
-0.075,-0.019,0.055,,,,,,,,,
-0.074,-0.018,0.055,,,,,,,,,
-0.071,-0.016,0.054,,,,,,,,,
-0.069,-0.015,0.054,,,,,,,,,
-0.068,-0.013,0.054,,,,,,,,,
-0.069,-0.014,0.055,,,,,,,,,
-0.069,-0.015,0.054,,,,,,,,,
-0.07,-0.015,0.054,,,,,,,,,
-0.07,-0.015,0.054,,,,,,,,,
-0.068,-0.013,0.055,,,,,,,,,
-0.065,-0.011,0.055,,,,,,,,,
-0.064,-0.009,0.054,,,,,,,,,
-0.064,-0.008,0.055,,,,,,,,,
-0.065,-0.009,0.055,,,,,,,,,
-0.064,-0.009,0.055,,,,,,,,,
-0.065,-0.01,0.054,,,,,,,,,
-0.065,-0.008,0.054,,,,,,,,,
-0.063,-0.007,0.055,,,,,,,,,
-0.06,-0.004,0.054,,,,,,,,,
-0.055,-0.003,0.052,,,,,,,,,
-0.049,0.0,0.048,,,,,,,,,
-0.04,0.001,0.041,,,,,,,,,
-0.032,0.003,0.036,,,,,,,,,
-0.035,0.004,0.04,,,,,,,,,
-0.05,0.005,0.056,,,,,,,,,
-0.068,0.005,0.073,,,,,,,,,
-0.079,0.004,0.083,,,,,,,,,
-0.079,0.001,0.08,,,,,,,,,
-0.074,0.0,0.075,,,,,,,,,
-0.073,0.0,0.073,,,,,,,,,
-0.074,0.0,0.075,,,,,,,,,
-0.075,0.0,0.074,,,,,,,,,
-0.073,-0.001,0.071,,,,,,,,,
-0.074,-0.004,0.069,,,,,,,,,
-0.076,-0.007,0.068,,,,,,,,,
-0.077,-0.007,0.069,,,,,,,,,
-0.069,0.0,0.07,,,,,,,,,
-0.056,0.013,0.07,,,,,,,,,
-0.045,0.025,0.069,,,,,,,,,
-0.041,0.026,0.068,,,,,,,,,
-0.043,0.021,0.065,,,,,,,,,
-0.045,0.018,0.064,,,,,,,,,
-0.044,0.019,0.063,,,,,,,,,
-0.044,0.019,0.064,,,,,,,,,
-0.046,0.017,0.066,,,,,,,,,
-0.049,0.015,0.065,,,,,,,,,
-0.05,0.013,0.064,,,,,,,,,
-0.047,0.014,0.061,,,,,,,,,
-0.045,0.014,0.06,,,,,,,,,
-0.043,0.015,0.059,,,,,,,,,
-0.044,0.014,0.059,,,,,,,,,
-0.046,0.014,0.06,,,,,,,,,
-0.048,0.012,0.06,,,,,,,,,
-0.05,0.009,0.06,,,,,,,,,
-0.049,0.009,0.058,,,,,,,,,
-0.045,0.009,0.055,,,,,,,,,
-0.043,0.009,0.054,,,,,,,,,
-0.044,0.01,0.055,,,,,,,,,
-0.044,0.01,0.055,,,,,,,,,
-0.045,0.008,0.053,,,,,,,,,
-0.045,0.006,0.05,,,,,,,,,
-0.044,0.004,0.049,,,,,,,,,
-0.045,0.004,0.049,,,,,,,,,
-0.045,0.005,0.049,,,,,,,,,
-0.044,0.006,0.051,,,,,,,,,
-0.044,0.005,0.05,,,,,,,,,
-0.045,0.003,0.049,,,,,,,,,
-0.045,0.001,0.046,,,,,,,,,
-0.045,0.0,0.045,,,,,,,,,
-0.044,0.0,0.044,,,,,,,,,
-0.044,0.0,0.045,,,,,,,,,
-0.045,0.0,0.045,,,,,,,,,
-0.049,-0.002,0.046,,,,,,,,,
-0.05,-0.005,0.045,,,,,,,,,
-0.049,-0.005,0.043,,,,,,,,,
-0.045,-0.005,0.04,,,,,,,,,
-0.044,-0.004,0.039,,,,,,,,,
-0.044,-0.004,0.04,,,,,,,,,
-0.045,-0.005,0.04,,,,,,,,,
-0.046,-0.006,0.038,,,,,,,,,
-0.048,-0.008,0.038,,,,,,,,,
-0.051,-0.01,0.041,,,,,,,,,
-0.055,-0.011,0.044,,,,,,,,,
-0.059,-0.009,0.049,,,,,,,,,
-0.065,-0.008,0.055,,,,,,,,,
-0.069,-0.009,0.059,,,,,,,,,
-0.071,-0.01,0.06,,,,,,,,,
-0.07,-0.013,0.057,,,,,,,,,
-0.07,-0.015,0.055,,,,,,,,,
-0.07,-0.015,0.054,,,,,,,,,
-0.07,-0.015,0.054,,,,,,,,,
-0.07,-0.014,0.055,,,,,,,,,
-0.071,-0.015,0.055,,,,,,,,,
-0.07,-0.015,0.054,,,,,,,,,
-0.067,-0.013,0.055,,,,,,,,,
-0.067,-0.012,0.055,,,,,,,,,
-0.074,-0.018,0.055,,,,,,,,,
-0.083,-0.028,0.054,,,,,,,,,
-0.085,-0.029,0.055,,,,,,,,,
-0.073,-0.018,0.055,,,,,,,,,
-0.061,-0.007,0.055,,,,,,,,,
-0.063,-0.008,0.054,,,,,,,,,
-0.079,-0.023,0.055,,,,,,,,,
-0.094,-0.039,0.054,,,,,,,,,
-0.1,-0.044,0.054,,,,,,,,,
-0.097,-0.042,0.055,,,,,,,,,
-0.093,-0.039,0.054,,,,,,,,,
-0.093,-0.039,0.054,,,,,,,,,
-0.095,-0.04,0.054,,,,,,,,,
-0.095,-0.04,0.055,,,,,,,,,
-0.095,-0.04,0.055,,,,,,,,,
-0.094,-0.04,0.054,,,,,,,,,
-0.095,-0.04,0.054,,,,,,,,,
-0.094,-0.039,0.055,,,,,,,,,
-0.095,-0.039,0.054,,,,,,,,,
-0.095,-0.04,0.054,,,,,,,,,
-0.095,-0.04,0.055,,,,,,,,,
-0.094,-0.039,0.055,,,,,,,,,
-0.095,-0.039,0.054,,,,,,,,,
-0.095,-0.04,0.054,,,,,,,,,
-0.094,-0.039,0.055,,,,,,,,,
-0.094,-0.039,0.055,,,,,,,,,
-0.094,-0.04,0.054,,,,,,,,,
-0.095,-0.04,0.054,,,,,,,,,
-0.095,-0.04,0.054,,,,,,,,,
-0.095,-0.039,0.055,,,,,,,,,
-0.095,-0.04,0.055,,,,,,,,,
-0.096,-0.041,0.055,,,,,,,,,
-0.094,-0.039,0.054,,,,,,,,,
-0.089,-0.034,0.054,,,,,,,,,
-0.081,-0.027,0.053,,,,,,,,,
-0.078,-0.021,0.056,,,,,,,,,
-0.079,-0.016,0.063,,,,,,,,,
-0.079,-0.009,0.07,,,,,,,,,
-0.078,-0.003,0.075,,,,,,,,,
-0.075,0.002,0.078,,,,,,,,,
-0.076,0.005,0.082,,,,,,,,,
-0.078,0.008,0.086,,,,,,,,,
-0.075,0.015,0.09,,,,,,,,,
-0.063,0.027,0.09,,,,,,,,,
-0.049,0.04,0.089,,,,,,,,,
-0.042,0.047,0.089,,,,,,,,,
-0.041,0.047,0.09,,,,,,,,,
-0.044,0.044,0.09,,,,,,,,,
-0.046,0.044,0.089,,,,,,,,,
-0.045,0.045,0.09,,,,,,,,,
-0.044,0.045,0.09,,,,,,,,,
-0.045,0.043,0.089,,,,,,,,,
-0.045,0.045,0.089,,,,,,,,,
-0.042,0.047,0.09,,,,,,,,,
-0.043,0.047,0.09,,,,,,,,,
-0.049,0.039,0.089,,,,,,,,,
-0.058,0.031,0.089,,,,,,,,,
-0.058,0.031,0.089,,,,,,,,,
-0.046,0.045,0.092,,,,,,,,,
-0.031,0.062,0.094,,,,,,,,,
-0.024,0.07,0.095,,,,,,,,,
-0.028,0.066,0.094,,,,,,,,,
-0.034,0.06,0.094,,,,,,,,,
-0.032,0.063,0.096,,,,,,,,,
-0.024,0.075,0.098,,,,,,,,,
-0.015,0.084,0.099,,,,,,,,,
-0.009,0.089,0.099,,,,,,,,,
0.0,0.099,0.099,,,,,,,,,
0.012,0.117,0.104,,,,,,,,,
0.025,0.135,0.108,,,,,,,,,
0.031,0.143,0.11,,,,,,,,,
0.031,0.14,0.108,,,,,,,,,
0.024,0.134,0.11,,,,,,,,,
0.014,0.132,0.117,,,,,,,,,
0.003,0.131,0.127,,,,,,,,,
-0.001,0.129,0.131,,,,,,,,,
-0.001,0.127,0.129,,,,,,,,,
0.0,0.125,0.124,,,,,,,,,
0.001,0.122,0.122,,,,,,,,,
0.0,0.12,0.12,,,,,,,,,
0.0,0.118,0.118,,,,,,,,,
0.0,0.117,0.117,,,,,,,,,
0.0,0.114,0.115,,,,,,,,,
0.0,0.112,0.113,,,,,,,,,
0.0,0.11,0.111,,,,,,,,,
0.0,0.108,0.108,,,,,,,,,
-0.001,0.104,0.106,,,,,,,,,
-0.005,0.099,0.104,,,,,,,,,
-0.008,0.095,0.104,,,,,,,,,
-0.013,0.092,0.105,,,,,,,,,
-0.015,0.088,0.103,,,,,,,,,
-0.016,0.083,0.099,,,,,,,,,
-0.014,0.08,0.095,,,,,,,,,
-0.015,0.076,0.092,,,,,,,,,
-0.018,0.072,0.09,,,,,,,,,
-0.022,0.067,0.089,,,,,,,,,
-0.022,0.064,0.087,,,,,,,,,
-0.024,0.06,0.084,,,,,,,,,
-0.026,0.056,0.083,,,,,,,,,
-0.027,0.053,0.081,,,,,,,,,
-0.021,0.058,0.079,,,,,,,,,
-0.01,0.065,0.076,,,,,,,,,
-0.005,0.069,0.075,,,,,,,,,
-0.006,0.067,0.074,,,,,,,,,
-0.008,0.062,0.072,,,,,,,,,
-0.008,0.059,0.067,,,,,,,,,
-0.005,0.056,0.061,,,,,,,,,
-0.006,0.049,0.054,,,,,,,,,
-0.011,0.038,0.05,,,,,,,,,
-0.025,0.021,0.046,,,,,,,,,
-0.044,-0.001,0.042,,,,,,,,,
-0.06,-0.021,0.039,,,,,,,,,
-0.065,-0.029,0.035,,,,,,,,,
-0.056,-0.026,0.03,,,,,,,,,
-0.047,-0.02,0.027,,,,,,,,,
-0.046,-0.024,0.023,,,,,,,,,
-0.054,-0.034,0.02,,,,,,,,,
-0.059,-0.043,0.015,,,,,,,,,
-0.054,-0.045,0.009,,,,,,,,,
-0.045,-0.039,0.004,,,,,,,,,
-0.038,-0.031,0.005,,,,,,,,,
-0.038,-0.027,0.011,,,,,,,,,
-0.044,-0.029,0.015,,,,,,,,,
-0.053,-0.039,0.014,,,,,,,,,
-0.061,-0.05,0.01,,,,,,,,,
-0.067,-0.057,0.009,,,,,,,,,
-0.067,-0.057,0.009,,,,,,,,,
-0.064,-0.054,0.009,,,,,,,,,
-0.059,-0.051,0.007,,,,,,,,,
-0.058,-0.052,0.005,,,,,,,,,
-0.063,-0.059,0.004,,,,,,,,,
-0.075,-0.07,0.005,,,,,,,,,
-0.084,-0.079,0.004,,,,,,,,,
-0.086,-0.083,0.003,,,,,,,,,
-0.081,-0.08,0.001,,,,,,,,,
-0.078,-0.078,0.0,,,,,,,,,
-0.078,-0.078,0.0,,,,,,,,,
-0.08,-0.079,0.0,,,,,,,,,
-0.078,-0.079,-0.001,,,,,,,,,
-0.076,-0.079,-0.004,,,,,,,,,
-0.073,-0.078,-0.005,,,,,,,,,
-0.073,-0.078,-0.004,,,,,,,,,
-0.075,-0.08,-0.005,,,,,,,,,
-0.077,-0.084,-0.006,,,,,,,,,
-0.08,-0.089,-0.008,,,,,,,,,
-0.079,-0.09,-0.01,,,,,,,,,
-0.077,-0.088,-0.011,,,,,,,,,
-0.075,-0.085,-0.009,,,,,,,,,
-0.076,-0.084,-0.008,,,,,,,,,
-0.079,-0.085,-0.006,,,,,,,,,
-0.08,-0.084,-0.004,,,,,,,,,
-0.077,-0.081,-0.004,,,,,,,,,
-0.075,-0.08,-0.004,,,,,,,,,
-0.074,-0.079,-0.005,,,,,,,,,
-0.074,-0.08,-0.005,,,,,,,,,
-0.074,-0.078,-0.004,,,,,,,,,
-0.072,-0.076,-0.004,,,,,,,,,
-0.069,-0.075,-0.004,,,,,,,,,
-0.069,-0.074,-0.005,,,,,,,,,
-0.07,-0.074,-0.005,,,,,,,,,
-0.068,-0.072,-0.004,,,,,,,,,
-0.065,-0.069,-0.004,,,,,,,,,
-0.064,-0.069,-0.005,,,,,,,,,
-0.071,-0.077,-0.006,,,,,,,,,
-0.079,-0.087,-0.008,,,,,,,,,
-0.079,-0.09,-0.011,,,,,,,,,
-0.073,-0.085,-0.012,,,,,,,,,
-0.069,-0.084,-0.014,,,,,,,,,
-0.075,-0.092,-0.016,,,,,,,,,
-0.08,-0.099,-0.019,,,,,,,,,
-0.076,-0.096,-0.021,,,,,,,,,
-0.063,-0.085,-0.021,,,,,,,,,
-0.059,-0.08,-0.02,,,,,,,,,
-0.071,-0.088,-0.017,,,,,,,,,
-0.089,-0.104,-0.016,,,,,,,,,
-0.097,-0.112,-0.015,,,,,,,,,
-0.095,-0.11,-0.014,,,,,,,,,
-0.09,-0.104,-0.014,,,,,,,,,
-0.089,-0.101,-0.013,,,,,,,,,
-0.089,-0.1,-0.01,,,,,,,,,
-0.089,-0.099,-0.009,,,,,,,,,
-0.086,-0.096,-0.01,,,,,,,,,
-0.085,-0.095,-0.01,,,,,,,,,
-0.084,-0.093,-0.008,,,,,,,,,
-0.085,-0.091,-0.006,,,,,,,,,
-0.083,-0.088,-0.004,,,,,,,,,
-0.082,-0.087,-0.005,,,,,,,,,
-0.079,-0.084,-0.004,,,,,,,,,
-0.078,-0.081,-0.003,,,,,,,,,
-0.079,-0.08,0.0,,,,,,,,,
-0.08,-0.08,0.0,,,,,,,,,
-0.084,-0.084,0.0,,,,,,,,,
-0.09,-0.09,0.0,,,,,,,,,
-0.097,-0.096,0.001,,,,,,,,,
-0.104,-0.1,0.003,,,,,,,,,
-0.103,-0.099,0.005,,,,,,,,,
-0.099,-0.094,0.005,,,,,,,,,
-0.094,-0.09,0.005,,,,,,,,,
-0.094,-0.087,0.008,,,,,,,,,
-0.098,-0.085,0.012,,,,,,,,,
-0.101,-0.084,0.017,,,,,,,,,
-0.101,-0.082,0.019,,,,,,,,,
-0.099,-0.08,0.02,,,,,,,,,
-0.097,-0.076,0.021,,,,,,,,,
-0.094,-0.072,0.023,,,,,,,,,
-0.094,-0.068,0.027,,,,,,,,,
-0.096,-0.066,0.029,,,,,,,,,
-0.095,-0.065,0.029,,,,,,,,,
-0.09,-0.064,0.024,,,,,,,,,
-0.08,-0.062,0.018,,,,,,,,,
-0.068,-0.056,0.012,,,,,,,,,
-0.055,-0.045,0.01,,,,,,,,,
-0.039,-0.034,0.004,,,,,,,,,
-0.02,-0.027,-0.006,,,,,,,,,
0.004,-0.017,-0.022,,,,,,,,,
0.037,0.001,-0.036,,,,,,,,,
0.079,0.03,-0.049,,,,,,,,,
0.119,0.06,-0.059,,,,,,,,,
0.156,0.086,-0.069,,,,,,,,,
0.192,0.11,-0.082,,,,,,,,,
0.239,0.14,-0.098,,,,,,,,,
0.295,0.178,-0.116,,,,,,,,,
0.344,0.22,-0.125,,,,,,,,,
0.378,0.262,-0.116,,,,,,,,,
0.4,0.305,-0.095,,,,,,,,,
0.421,0.345,-0.075,,,,,,,,,
0.45,0.386,-0.063,,,,,,,,,
0.486,0.434,-0.051,,,,,,,,,
0.527,0.493,-0.033,,,,,,,,,
0.564,0.552,-0.012,,,,,,,,,
0.589,0.592,0.003,,,,,,,,,
0.596,0.613,0.016,,,,,,,,,
0.595,0.63,0.035,,,,,,,,,
