I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.072,0.003,0.075,,,,,,,,,
-0.08,-0.006,0.074,,,,,,,,,
-0.085,-0.01,0.074,,,,,,,,,
-0.092,-0.017,0.074,,,,,,,,,
-0.097,-0.023,0.074,,,,,,,,,
-0.096,-0.024,0.073,,,,,,,,,
-0.094,-0.022,0.071,,,,,,,,,
-0.09,-0.021,0.068,,,,,,,,,
-0.082,-0.015,0.066,,,,,,,,,
-0.064,0.0,0.064,,,,,,,,,
-0.049,0.015,0.065,,,,,,,,,
-0.045,0.02,0.065,,,,,,,,,
-0.049,0.015,0.064,,,,,,,,,
-0.054,0.004,0.058,,,,,,,,,
-0.067,-0.013,0.053,,,,,,,,,
-0.087,-0.035,0.051,,,,,,,,,
-0.102,-0.05,0.051,,,,,,,,,
-0.094,-0.044,0.048,,,,,,,,,
-0.072,-0.022,0.049,,,,,,,,,
-0.055,0.004,0.059,,,,,,,,,
-0.05,0.03,0.08,,,,,,,,,
-0.049,0.05,0.099,,,,,,,,,
-0.047,0.058,0.105,,,,,,,,,
-0.04,0.055,0.095,,,,,,,,,
-0.025,0.049,0.075,,,,,,,,,
-0.005,0.047,0.051,,,,,,,,,
0.004,0.046,0.041,,,,,,,,,
-0.012,0.044,0.056,,,,,,,,,
-0.052,0.04,0.093,,,,,,,,,
-0.085,0.039,0.124,,,,,,,,,
-0.094,0.039,0.133,,,,,,,,,
-0.088,0.035,0.124,,,,,,,,,
-0.083,0.032,0.115,,,,,,,,,
-0.086,0.03,0.117,,,,,,,,,
-0.089,0.031,0.12,,,,,,,,,
-0.09,0.03,0.121,,,,,,,,,
-0.09,0.029,0.119,,,,,,,,,
-0.092,0.027,0.119,,,,,,,,,
-0.094,0.024,0.117,,,,,,,,,
-0.09,0.024,0.115,,,,,,,,,
-0.074,0.038,0.113,,,,,,,,,
-0.053,0.061,0.115,,,,,,,,,
-0.038,0.078,0.116,,,,,,,,,
-0.036,0.08,0.116,,,,,,,,,
-0.036,0.077,0.113,,,,,,,,,
-0.032,0.077,0.11,,,,,,,,,
-0.025,0.078,0.103,,,,,,,,,
-0.023,0.074,0.097,,,,,,,,,
-0.022,0.069,0.092,,,,,,,,,
-0.019,0.069,0.09,,,,,,,,,
-0.018,0.069,0.087,,,,,,,,,
-0.018,0.064,0.083,,,,,,,,,
-0.011,0.063,0.075,,,,,,,,,
-0.001,0.067,0.068,,,,,,,,,
-0.008,0.062,0.071,,,,,,,,,
-0.045,0.04,0.085,,,,,,,,,
-0.076,0.028,0.105,,,,,,,,,
-0.061,0.061,0.122,,,,,,,,,
-0.01,0.12,0.131,,,,,,,,,
0.009,0.15,0.14,,,,,,,,,
-0.029,0.125,0.155,,,,,,,,,
-0.083,0.087,0.17,,,,,,,,,
-0.087,0.088,0.175,,,,,,,,,
-0.039,0.128,0.169,,,,,,,,,
0.008,0.168,0.159,,,,,,,,,
0.021,0.175,0.155,,,,,,,,,
0.005,0.157,0.152,,,,,,,,,
-0.012,0.134,0.147,,,,,,,,,
-0.017,0.122,0.14,,,,,,,,,
-0.009,0.125,0.135,,,,,,,,,
0.005,0.136,0.131,,,,,,,,,
0.019,0.146,0.127,,,,,,,,,
0.016,0.137,0.121,,,,,,,,,
-0.007,0.108,0.115,,,,,,,,,
-0.046,0.064,0.109,,,,,,,,,
-0.085,0.019,0.104,,,,,,,,,
-0.11,-0.008,0.101,,,,,,,,,
-0.109,-0.008,0.099,,,,,,,,,
-0.078,0.024,0.102,,,,,,,,,
-0.034,0.08,0.115,,,,,,,,,
0.0,0.137,0.137,,,,,,,,,
0.018,0.178,0.158,,,,,,,,,
0.025,0.193,0.166,,,,,,,,,
0.028,0.189,0.16,,,,,,,,,
0.026,0.176,0.149,,,,,,,,,
0.022,0.166,0.143,,,,,,,,,
0.018,0.161,0.141,,,,,,,,,
0.019,0.158,0.138,,,,,,,,,
0.018,0.152,0.133,,,,,,,,,
0.015,0.145,0.129,,,,,,,,,
0.011,0.138,0.126,,,,,,,,,
0.01,0.132,0.122,,,,,,,,,
0.011,0.127,0.116,,,,,,,,,
0.01,0.12,0.11,,,,,,,,,
0.008,0.114,0.105,,,,,,,,,
0.008,0.108,0.099,,,,,,,,,
0.007,0.103,0.095,,,,,,,,,
0.004,0.096,0.092,,,,,,,,,
0.0,0.09,0.09,,,,,,,,,
0.0,0.084,0.085,,,,,,,,,
0.001,0.079,0.078,,,,,,,,,
0.0,0.074,0.072,,,,,,,,,
-0.003,0.065,0.068,,,,,,,,,
-0.009,0.055,0.063,,,,,,,,,
-0.014,0.045,0.059,,,,,,,,,
-0.017,0.037,0.056,,,,,,,,,
-0.022,0.03,0.052,,,,,,,,,
-0.03,0.016,0.048,,,,,,,,,
-0.048,-0.003,0.044,,,,,,,,,
-0.074,-0.029,0.045,,,,,,,,,
-0.103,-0.057,0.046,,,,,,,,,
-0.124,-0.079,0.045,,,,,,,,,
-0.13,-0.087,0.042,,,,,,,,,
-0.124,-0.083,0.042,,,,,,,,,
-0.116,-0.073,0.041,,,,,,,,,
-0.11,-0.07,0.038,,,,,,,,,
-0.106,-0.068,0.037,,,,,,,,,
-0.101,-0.062,0.04,,,,,,,,,
-0.095,-0.053,0.043,,,,,,,,,
-0.089,-0.054,0.034,,,,,,,,,
-0.087,-0.065,0.021,,,,,,,,,
-0.086,-0.062,0.024,,,,,,,,,
-0.083,-0.024,0.058,,,,,,,,,
-0.078,0.031,0.108,,,,,,,,,
-0.075,0.067,0.141,,,,,,,,,
-0.073,0.058,0.132,,,,,,,,,
-0.074,0.016,0.091,,,,,,,,,
-0.074,-0.032,0.042,,,,,,,,,
-0.074,-0.066,0.006,,,,,,,,,
-0.074,-0.085,-0.01,,,,,,,,,
-0.079,-0.091,-0.01,,,,,,,,,
-0.087,-0.091,-0.004,,,,,,,,,
-0.093,-0.089,0.003,,,,,,,,,
-0.098,-0.09,0.007,,,,,,,,,
-0.099,-0.089,0.009,,,,,,,,,
-0.1,-0.087,0.014,,,,,,,,,
-0.1,-0.082,0.018,,,,,,,,,
-0.101,-0.079,0.022,,,,,,,,,
-0.102,-0.077,0.025,,,,,,,,,
-0.105,-0.075,0.03,,,,,,,,,
-0.106,-0.07,0.035,,,,,,,,,
-0.106,-0.067,0.038,,,,,,,,,
-0.103,-0.064,0.038,,,,,,,,,
-0.102,-0.062,0.04,,,,,,,,,
-0.106,-0.059,0.046,,,,,,,,,
-0.116,-0.057,0.059,,,,,,,,,
-0.124,-0.053,0.07,,,,,,,,,
-0.12,-0.046,0.074,,,,,,,,,
-0.102,-0.039,0.062,,,,,,,,,
-0.085,-0.045,0.04,,,,,,,,,
-0.079,-0.062,0.016,,,,,,,,,
-0.079,-0.072,0.006,,,,,,,,,
-0.068,-0.057,0.011,,,,,,,,,
-0.051,-0.027,0.024,,,,,,,,,
-0.05,-0.017,0.032,,,,,,,,,
-0.076,-0.048,0.028,,,,,,,,,
-0.105,-0.095,0.009,,,,,,,,,
-0.105,-0.123,-0.017,,,,,,,,,
-0.077,-0.117,-0.04,,,,,,,,,
-0.055,-0.1,-0.044,,,,,,,,,
-0.063,-0.09,-0.026,,,,,,,,,
-0.097,-0.09,0.006,,,,,,,,,
-0.131,-0.089,0.041,,,,,,,,,
-0.155,-0.085,0.069,,,,,,,,,
-0.168,-0.079,0.089,,,,,,,,,
-0.176,-0.073,0.103,,,,,,,,,
-0.181,-0.068,0.114,,,,,,,,,
-0.191,-0.063,0.129,,,,,,,,,
-0.207,-0.058,0.148,,,,,,,,,
-0.225,-0.054,0.17,,,,,,,,,
-0.238,-0.051,0.187,,,,,,,,,
-0.249,-0.046,0.202,,,,,,,,,
-0.261,-0.043,0.217,,,,,,,,,
-0.274,-0.042,0.231,,,,,,,,,
-0.279,-0.045,0.234,,,,,,,,,
-0.273,-0.05,0.224,,,,,,,,,
-0.252,-0.049,0.204,,,,,,,,,
-0.223,-0.035,0.186,,,,,,,,,
-0.182,-0.009,0.173,,,,,,,,,
-0.134,0.02,0.154,,,,,,,,,
-0.083,0.045,0.128,,,,,,,,,
-0.033,0.067,0.101,,,,,,,,,
0.011,0.092,0.081,,,,,,,,,
0.059,0.123,0.063,,,,,,,,,
0.127,0.155,0.028,,,,,,,,,
0.217,0.188,-0.029,,,,,,,,,
0.314,0.223,-0.09,,,,,,,,,
0.396,0.267,-0.128,,,,,,,,,
0.454,0.313,-0.14,,,,,,,,,
0.504,0.355,-0.15,,,,,,,,,
0.569,0.389,-0.18,,,,,,,,,
0.657,0.432,-0.225,,,,,,,,,
0.759,0.496,-0.263,,,,,,,,,
0.858,0.561,-0.298,,,,,,,,,
0.931,0.581,-0.35,,,,,,,,,
0.969,0.536,-0.433,,,,,,,,,
0.987,0.459,-0.527,,,,,,,,,
1.011,0.404,-0.606,,,,,,,,,
1.048,0.386,-0.661,,,,,,,,,
1.07,0.365,-0.705,,,,,,,,,
1.049,0.304,-0.745,,,,,,,,,
0.995,0.211,-0.783,,,,,,,,,
0.934,0.118,-0.813,,,,,,,,,
0.885,0.047,-0.836,,,,,,,,,
0.843,-0.002,-0.845,,,,,,,,,
0.801,-0.036,-0.838,,,,,,,,,
0.754,-0.058,-0.812,,,,,,,,,
0.698,-0.075,-0.772,,,,,,,,,
0.624,-0.094,-0.718,,,,,,,,,
0.535,-0.119,-0.655,,,,,,,,,
0.445,-0.145,-0.59,,,,,,,,,
0.364,-0.168,-0.532,,,,,,,,,
0.289,-0.191,-0.481,,,,,,,,,
0.222,-0.215,-0.438,,,,,,,,,
0.174,-0.229,-0.404,,,,,,,,,
0.144,-0.232,-0.377,,,,,,,,,
0.114,-0.227,-0.341,,,,,,,,,
0.058,-0.223,-0.281,,,,,,,,,
-0.013,-0.221,-0.208,,,,,,,,,
-0.069,-0.219,-0.149,,,,,,,,,
-0.089,-0.218,-0.128,,,,,,,,,
-0.084,-0.215,-0.132,,,,,,,,,
-0.077,-0.214,-0.136,,,,,,,,,
-0.08,-0.212,-0.132,,,,,,,,,
-0.085,-0.209,-0.124,,,,,,,,,
-0.087,-0.207,-0.119,,,,,,,,,
-0.088,-0.205,-0.117,,,,,,,,,
-0.091,-0.204,-0.114,,,,,,,,,
-0.095,-0.205,-0.109,,,,,,,,,
-0.094,-0.199,-0.105,,,,,,,,,
-0.088,-0.184,-0.095,,,,,,,,,
-0.076,-0.159,-0.081,,,,,,,,,
-0.062,-0.13,-0.067,,,,,,,,,
-0.05,-0.107,-0.056,,,,,,,,,
-0.05,-0.096,-0.046,,,,,,,,,
-0.063,-0.1,-0.037,,,,,,,,,
-0.082,-0.113,-0.03,,,,,,,,,
-0.093,-0.122,-0.028,,,,,,,,,
-0.095,-0.121,-0.025,,,,,,,,,
-0.094,-0.114,-0.02,,,,,,,,,
-0.097,-0.11,-0.013,,,,,,,,,
-0.101,-0.109,-0.008,,,,,,,,,
-0.106,-0.11,-0.003,,,,,,,,,
-0.11,-0.11,0.001,,,,,,,,,
-0.114,-0.108,0.005,,,,,,,,,
-0.118,-0.108,0.009,,,,,,,,,
-0.122,-0.106,0.015,,,,,,,,,
-0.127,-0.105,0.023,,,,,,,,,
-0.133,-0.104,0.028,,,,,,,,,
-0.135,-0.105,0.03,,,,,,,,,
-0.131,-0.103,0.027,,,,,,,,,
-0.124,-0.101,0.023,,,,,,,,,
-0.115,-0.097,0.016,,,,,,,,,
-0.107,-0.096,0.011,,,,,,,,,
-0.105,-0.095,0.009,,,,,,,,,
-0.108,-0.094,0.014,,,,,,,,,
-0.116,-0.095,0.021,,,,,,,,,
-0.121,-0.094,0.028,,,,,,,,,
-0.123,-0.091,0.031,,,,,,,,,
-0.125,-0.09,0.035,,,,,,,,,
-0.128,-0.09,0.039,,,,,,,,,
-0.132,-0.09,0.043,,,,,,,,,
-0.136,-0.088,0.047,,,,,,,,,
-0.136,-0.082,0.052,,,,,,,,,
-0.13,-0.074,0.054,,,,,,,,,
-0.12,-0.066,0.054,,,,,,,,,
-0.113,-0.062,0.05,,,,,,,,,
-0.12,-0.071,0.049,,,,,,,,,
-0.141,-0.092,0.049,,,,,,,,,
-0.159,-0.11,0.05,,,,,,,,,
-0.164,-0.114,0.05,,,,,,,,,
-0.158,-0.108,0.051,,,,,,,,,
-0.151,-0.102,0.049,,,,,,,,,
-0.15,-0.103,0.047,,,,,,,,,
-0.15,-0.106,0.044,,,,,,,,,
-0.15,-0.105,0.045,,,,,,,,,
-0.149,-0.103,0.045,,,,,,,,,
-0.149,-0.104,0.045,,,,,,,,,
-0.15,-0.106,0.043,,,,,,,,,
-0.15,-0.105,0.045,,,,,,,,,
-0.149,-0.102,0.047,,,,,,,,,
-0.152,-0.1,0.052,,,,,,,,,
-0.159,-0.1,0.059,,,,,,,,,
-0.165,-0.1,0.065,,,,,,,,,
-0.158,-0.099,0.059,,,,,,,,,
-0.139,-0.099,0.039,,,,,,,,,
-0.121,-0.1,0.021,,,,,,,,,
-0.128,-0.1,0.028,,,,,,,,,
-0.158,-0.099,0.059,,,,,,,,,
-0.19,-0.1,0.09,,,,,,,,,
-0.199,-0.1,0.098,,,,,,,,,
-0.189,-0.099,0.089,,,,,,,,,
-0.18,-0.098,0.081,,,,,,,,,
-0.179,-0.097,0.082,,,,,,,,,
-0.181,-0.095,0.085,,,,,,,,,
-0.178,-0.093,0.084,,,,,,,,,
-0.174,-0.093,0.08,,,,,,,,,
-0.175,-0.094,0.079,,,,,,,,,
-0.176,-0.095,0.08,,,,,,,,,
-0.175,-0.095,0.08,,,,,,,,,
-0.172,-0.094,0.077,,,,,,,,,
-0.171,-0.095,0.076,,,,,,,,,
-0.171,-0.096,0.075,,,,,,,,,
-0.171,-0.096,0.074,,,,,,,,,
-0.168,-0.094,0.074,,,,,,,,,
-0.165,-0.092,0.073,,,,,,,,,
-0.159,-0.087,0.07,,,,,,,,,
-0.153,-0.083,0.069,,,,,,,,,
-0.149,-0.08,0.068,,,,,,,,,
-0.149,-0.08,0.07,,,,,,,,,
-0.149,-0.079,0.071,,,,,,,,,
-0.147,-0.076,0.071,,,,,,,,,
-0.142,-0.073,0.069,,,,,,,,,
-0.139,-0.072,0.066,,,,,,,,,
-0.135,-0.071,0.065,,,,,,,,,
-0.133,-0.068,0.065,,,,,,,,,
-0.13,-0.065,0.065,,,,,,,,,
-0.129,-0.065,0.063,,,,,,,,,
-0.126,-0.064,0.061,,,,,,,,,
-0.12,-0.06,0.06,,,,,,,,,
-0.112,-0.051,0.06,,,,,,,,,
-0.109,-0.048,0.059,,,,,,,,,
-0.114,-0.055,0.058,,,,,,,,,
-0.127,-0.07,0.057,,,,,,,,,
-0.135,-0.079,0.055,,,,,,,,,
-0.131,-0.076,0.054,,,,,,,,,
-0.117,-0.062,0.054,,,,,,,,,
-0.101,-0.047,0.053,,,,,,,,,
-0.089,-0.037,0.052,,,,,,,,,
-0.079,-0.03,0.049,,,,,,,,,
-0.075,-0.026,0.048,,,,,,,,,
-0.085,-0.035,0.05,,,,,,,,,
-0.111,-0.059,0.052,,,,,,,,,
-0.143,-0.092,0.05,,,,,,,,,
-0.162,-0.113,0.048,,,,,,,,,
-0.16,-0.114,0.047,,,,,,,,,
-0.138,-0.099,0.039,,,,,,,,,
-0.101,-0.083,0.019,,,,,,,,,
-0.072,-0.072,0.0,,,,,,,,,
-0.075,-0.065,0.01,,,,,,,,,
-0.117,-0.059,0.057,,,,,,,,,
-0.171,-0.056,0.114,,,,,,,,,
-0.198,-0.054,0.144,,,,,,,,,
-0.189,-0.052,0.138,,,,,,,,,
-0.169,-0.049,0.119,,,,,,,,,
-0.158,-0.048,0.109,,,,,,,,,
-0.154,-0.046,0.107,,,,,,,,,
-0.148,-0.044,0.103,,,,,,,,,
-0.138,-0.042,0.096,,,,,,,,,
-0.13,-0.04,0.089,,,,,,,,,
-0.116,-0.032,0.083,,,,,,,,,
-0.092,-0.015,0.077,,,,,,,,,
-0.063,0.008,0.071,,,,,,,,,
-0.044,0.026,0.07,,,,,,,,,
-0.043,0.028,0.07,,,,,,,,,
-0.06,0.009,0.069,,,,,,,,,
-0.095,-0.026,0.068,,,,,,,,,
-0.143,-0.072,0.07,,,,,,,,,
-0.183,-0.11,0.073,,,,,,,,,
-0.195,-0.125,0.069,,,,,,,,,
-0.175,-0.112,0.063,,,,,,,,,
-0.147,-0.082,0.065,,,,,,,,,
-0.13,-0.049,0.081,,,,,,,,,
-0.132,-0.025,0.107,,,,,,,,,
-0.138,-0.01,0.128,,,,,,,,,
-0.141,-0.006,0.135,,,,,,,,,
-0.137,-0.007,0.129,,,,,,,,,
-0.134,-0.01,0.123,,,,,,,,,
-0.133,-0.011,0.122,,,,,,,,,
-0.134,-0.009,0.125,,,,,,,,,
-0.134,-0.008,0.126,,,,,,,,,
-0.134,-0.009,0.125,,,,,,,,,
-0.135,-0.011,0.124,,,,,,,,,
-0.138,-0.013,0.125,,,,,,,,,
-0.134,-0.01,0.125,,,,,,,,,
-0.121,0.003,0.125,,,,,,,,,
-0.101,0.023,0.124,,,,,,,,,
-0.077,0.047,0.124,,,,,,,,,
-0.055,0.067,0.122,,,,,,,,,
-0.04,0.079,0.119,,,,,,,,,
-0.036,0.081,0.119,,,,,,,,,
-0.042,0.077,0.12,,,,,,,,,
-0.047,0.073,0.12,,,,,,,,,
-0.046,0.073,0.12,,,,,,,,,
-0.048,0.07,0.119,,,,,,,,,
-0.059,0.059,0.12,,,,,,,,,
-0.065,0.054,0.12,,,,,,,,,
-0.048,0.072,0.12,,,,,,,,,
-0.014,0.105,0.119,,,,,,,,,
0.009,0.13,0.12,,,,,,,,,
0.009,0.127,0.118,,,,,,,,,
-0.009,0.107,0.116,,,,,,,,,
-0.029,0.085,0.114,,,,,,,,,
-0.045,0.069,0.114,,,,,,,,,
-0.055,0.059,0.115,,,,,,,,,
-0.062,0.05,0.112,,,,,,,,,
-0.07,0.039,0.11,,,,,,,,,
-0.091,0.018,0.109,,,,,,,,,
-0.113,-0.003,0.11,,,,,,,,,
-0.109,0.0,0.109,,,,,,,,,
-0.07,0.037,0.107,,,,,,,,,
-0.026,0.08,0.105,,,,,,,,,
-0.017,0.088,0.105,,,,,,,,,
-0.041,0.064,0.105,,,,,,,,,
-0.053,0.051,0.105,,,,,,,,,
-0.028,0.074,0.101,,,,,,,,,
0.016,0.114,0.097,,,,,,,,,
0.044,0.138,0.092,,,,,,,,,
0.044,0.135,0.09,,,,,,,,,
0.034,0.125,0.089,,,,,,,,,
0.031,0.119,0.088,,,,,,,,,
0.033,0.119,0.086,,,,,,,,,
0.035,0.119,0.083,,,,,,,,,
0.037,0.12,0.082,,,,,,,,,
0.035,0.115,0.08,,,,,,,,,
0.028,0.105,0.077,,,,,,,,,
0.027,0.102,0.075,,,,,,,,,
0.049,0.123,0.074,,,,,,,,,
0.087,0.16,0.073,,,,,,,,,
0.12,0.19,0.069,,,,,,,,,
0.129,0.193,0.064,,,,,,,,,
0.123,0.181,0.058,,,,,,,,,
0.117,0.17,0.052,,,,,,,,,
0.118,0.167,0.048,,,,,,,,,
0.12,0.165,0.045,,,,,,,,,
0.119,0.16,0.04,,,,,,,,,
0.116,0.153,0.036,,,,,,,,,
0.114,0.148,0.033,,,,,,,,,
0.113,0.144,0.031,,,,,,,,,
0.115,0.139,0.024,,,,,,,,,
0.121,0.134,0.012,,,,,,,,,
0.133,0.127,-0.005,,,,,,,,,
0.147,0.122,-0.025,,,,,,,,,
0.161,0.118,-0.043,,,,,,,,,
0.169,0.115,-0.053,,,,,,,,,
0.167,0.11,-0.056,,,,,,,,,
0.164,0.11,-0.052,,,,,,,,,
0.169,0.12,-0.049,,,,,,,,,
0.184,0.136,-0.048,,,,,,,,,
0.194,0.144,-0.05,,,,,,,,,
0.193,0.141,-0.051,,,,,,,,,
0.191,0.139,-0.05,,,,,,,,,
0.205,0.156,-0.049,,,,,,,,,
0.233,0.185,-0.046,,,,,,,,,
0.254,0.209,-0.045,,,,,,,,,
0.257,0.212,-0.043,,,,,,,,,
0.246,0.201,-0.044,,,,,,,,,
0.236,0.19,-0.044,,,,,,,,,
0.231,0.186,-0.045,,,,,,,,,
0.229,0.185,-0.044,,,,,,,,,
0.225,0.181,-0.043,,,,,,,,,
0.215,0.177,-0.038,,,,,,,,,
0.203,0.172,-0.03,,,,,,,,,
0.192,0.169,-0.022,,,,,,,,,
0.19,0.165,-0.025,,,,,,,,,
0.201,0.161,-0.041,,,,,,,,,
0.22,0.157,-0.064,,,,,,,,,
0.236,0.153,-0.082,,,,,,,,,
0.242,0.15,-0.091,,,,,,,,,
0.235,0.145,-0.09,,,,,,,,,
0.214,0.134,-0.08,,,,,,,,,
0.187,0.121,-0.067,,,,,,,,,
0.162,0.109,-0.052,,,,,,,,,
0.141,0.1,-0.041,,,,,,,,,
0.125,0.089,-0.035,,,,,,,,,
0.111,0.08,-0.031,,,,,,,,,
0.109,0.079,-0.03,,,,,,,,,
0.126,0.097,-0.029,,,,,,,,,
0.157,0.13,-0.026,,,,,,,,,
0.189,0.165,-0.025,,,,,,,,,
0.209,0.184,-0.024,,,,,,,,,
0.211,0.187,-0.025,,,,,,,,,
0.204,0.18,-0.024,,,,,,,,,
0.191,0.17,-0.021,,,,,,,,,
0.175,0.155,-0.02,,,,,,,,,
0.158,0.138,-0.019,,,,,,,,,
0.148,0.128,-0.02,,,,,,,,,
0.154,0.136,-0.019,,,,,,,,,
0.171,0.153,-0.017,,,,,,,,,
0.175,0.16,-0.014,,,,,,,,,
0.154,0.141,-0.012,,,,,,,,,
0.122,0.112,-0.009,,,,,,,,,
0.102,0.092,-0.009,,,,,,,,,
0.102,0.091,-0.009,,,,,,,,,
0.106,0.095,-0.01,,,,,,,,,
0.103,0.095,-0.007,,,,,,,,,
0.095,0.091,-0.005,,,,,,,,,
0.094,0.089,-0.004,,,,,,,,,
0.094,0.087,-0.006,,,,,,,,,
0.09,0.085,-0.004,,,,,,,,,
0.08,0.082,0.001,,,,,,,,,
0.075,0.081,0.005,,,,,,,,,
0.077,0.079,0.002,,,,,,,,,
0.077,0.075,0.0,,,,,,,,,
0.061,0.074,0.012,,,,,,,,,
0.032,0.075,0.042,,,,,,,,,
0.0,0.075,0.076,,,,,,,,,
-0.019,0.073,0.093,,,,,,,,,
-0.012,0.071,0.084,,,,,,,,,
0.015,0.069,0.055,,,,,,,,,
0.043,0.068,0.024,,,,,,,,,
0.05,0.065,0.015,,,,,,,,,
0.027,0.063,0.036,,,,,,,,,
-0.014,0.062,0.076,,,,,,,,,
-0.047,0.06,0.107,,,,,,,,,
-0.056,0.058,0.114,,,,,,,,,
-0.044,0.055,0.099,,,,,,,,,
-0.03,0.054,0.084,,,,,,,,,
-0.024,0.052,0.077,,,,,,,,,
-0.025,0.049,0.074,,,,,,,,,
-0.023,0.047,0.07,,,,,,,,,
-0.016,0.046,0.063,,,,,,,,,
-0.012,0.043,0.057,,,,,,,,,
-0.012,0.039,0.051,,,,,,,,,
-0.01,0.033,0.045,,,,,,,,,
-0.004,0.031,0.034,,,,,,,,,
0.005,0.028,0.022,,,,,,,,,
0.015,0.022,0.006,,,,,,,,,
0.024,0.017,-0.006,,,,,,,,,
0.024,0.015,-0.01,,,,,,,,,
